"Feed Number","Title","Link","Description","Feed URL","Newsletter Signup URL"
"118","TEST_HLB - Recent Updates","https://www.columbus.gov/","TEST_HLB - Recent Updates","https://public.govdelivery.com/topics/OHCCC_118/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_118
"11","CCC - Legislation In Your Neighborhood - Recent Updates","http://council.columbus.gov/","CCC - Legislation In Your Neighborhood - Recent Updates","https://public.govdelivery.com/topics/OHCCC_11/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_11
"120","ATY - City Attorney News & Releases - Recent Updates","https://www.columbus.gov/","ATY - City Attorney News & Releases - Recent Updates","https://public.govdelivery.com/topics/OHCCC_120/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_120
"122","SAFE/SS Vehicle for Hire Drivers - Recent Updates","https://www.columbus.gov/","SAFE/SS Vehicle for Hire Drivers - Recent Updates","https://public.govdelivery.com/topics/OHCCC_122/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_122
"124","ALL - City of Columbus Staff - Recent Updates","https://www.columbus.gov/","ALL - City of Columbus Staff - Recent Updates","https://public.govdelivery.com/topics/OHCCC_124/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_124
"126","MAY - General Invitation - Recent Updates","https://www.columbus.gov/","MAY - General Invitation - Recent Updates","https://public.govdelivery.com/topics/OHCCC_126/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_126
"128","SAFE/SS Mobile Food Vending - Outside CPH - Recent Updates","https://www.columbus.gov/","SAFE/SS Mobile Food Vending - Outside CPH - Recent Updates","https://public.govdelivery.com/topics/OHCCC_128/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_128
"131","HR - Announcement - Recent Updates","https://www.columbus.gov/","HR - Announcement - Recent Updates","https://public.govdelivery.com/topics/OHCCC_131/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_131
"132","AUD - Income Tax Division - Recent Updates","https://www.columbus.gov/","AUD - Income Tax Division - Recent Updates","https://public.govdelivery.com/topics/OHCCC_132/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_132
"133","R&P - Alcohol Events - Recent Updates","https://www.columbus.gov/","R&P - Alcohol Events - Recent Updates","https://public.govdelivery.com/topics/OHCCC_133/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_133
"134","R&P - Downtown Business Contacts - Recent Updates","https://www.columbus.gov/","R&P - Downtown Business Contacts - Recent Updates","https://public.govdelivery.com/topics/OHCCC_134/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_134
"135","R&P - Race Coordinators - Recent Updates","https://www.columbus.gov/","R&P - Race Coordinators - Recent Updates","https://public.govdelivery.com/topics/OHCCC_135/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_135
"136","R&P - SESP Contacts - Recent Updates","https://www.columbus.gov/","R&P - SESP Contacts - Recent Updates","https://public.govdelivery.com/topics/OHCCC_136/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_136
"137","R&P - City Permits Contacts - Recent Updates","https://www.columbus.gov/","R&P - City Permits Contacts - Recent Updates","https://public.govdelivery.com/topics/OHCCC_137/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_137
"138","R&P - Event Coordinators - Recent Updates","https://www.columbus.gov/","R&P - Event Coordinators - Recent Updates","https://public.govdelivery.com/topics/OHCCC_138/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_138
"13","CCC - Charter Review - Recent Updates","http://council.columbus.gov/","CCC - Charter Review - Recent Updates","https://public.govdelivery.com/topics/OHCCC_13/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_13
